,time,Name,Str
10,57722475,"response/mediamanager/MediaController/getSpeed","{""addr"":""/response/mediamanager/MediaController/getSpeed"",""data"":{""code"":0,""data"":0.0},""from"":""mediamanager"",""requestId"":""202211110002023693063""}"
11,57722530,"response/mediamanager/MediaController/getPlayState","{""addr"":""/response/mediamanager/MediaController/getPlayState"",""data"":{""code"":0,""data"":0},""from"":""mediamanager"",""requestId"":""202211110002023627622""}"
12,57722547,"response/tencent/TencentMediaController/identity_home","{""addr"":""/response/tencent/TencentMediaController/identity_home"",""data"":{""code"":-2},""from"":""unknow"",""requestId"":""202211110002024030451""}"
13,57722555,"response/mediamanager/MediaController/getCurrentMedia","{""addr"":""/response/mediamanager/MediaController/getCurrentMedia"",""data"":{""code"":0},""from"":""mediamanager"",""requestId"":""202211110002023725711""}"
14,57722563,"response/mediamanager/MediaController/getDuration","{""addr"":""/response/mediamanager/MediaController/getDuration"",""data"":{""code"":0,""data"":0},""from"":""mediamanager"",""requestId"":""202211110002023741899""}"
15,57723504,"response/tencent/TencentMediaController/qq_loginqrcode","{""addr"":""/response/tencent/TencentMediaController/qq_loginqrcode"",""data"":{""code"":0,""data"":""http://qqlogin.img.tai.qq.com/ec42b8c2086604e6e49e6db96fbe52c6/6407eef0/qqlogin/45bcc4f5cd006f3f286798f2bc442c3e.html""},""from"":""unknow"",""requestId"":""202211110002025599605""}"
16,57724795,"response/tencent/TencentMediaController/wechat_loginqrcode","{""addr"":""/response/tencent/TencentMediaController/wechat_loginqrcode"",""data"":{""code"":0,""data"":""http://wxlogin.img.tai.qq.com/wxlogin/dde42f9203787484c391c7b6bd0403f8.html?sign=1678241520-PbDrym4pF9-0-fca723d9b8213b9b3c87d33800550ab2""},""from"":""unknow"",""requestId"":""202211110002025609977""}"
17,57724832,"response/tencent/TencentMediaController/qqlogin","{""addr"":""/response/tencent/TencentMediaController/qqlogin"",""data"":{""code"":-5},""from"":""unknow"",""requestId"":""202211110002048038135""}"
18,57725111,"response/tencent/TencentMediaController/qqlogin","{""addr"":""/response/tencent/TencentMediaController/qqlogin"",""data"":{""code"":-5},""from"":""unknow"",""requestId"":""202211110002050874332""}"
19,57780041,"notify/launcher/time/updateTime","{""addr"":""/notify/launcher/time/updateTime"",""data"":{""time"":""12:03AM""},""from"":""launcher"",""requestId"":""20221111000300039""}"
20,57780046,"notify/launcher/signal/updateSignal","{""addr"":""/notify/launcher/signal/updateSignal"",""data"":{""signalStrength"":3,""signalType"":""WIFI""},""from"":""launcher"",""requestId"":""20221111000300042""}"
